Rank,Rider,Team,Points
475,VAN ENGELEN Adne,Terengganu Cycling Team,120
476,GHEBREIGZABHIER Amanuel,Lidl - Trek,120
477,SANDER HANSEN Marcus,BHS - PL Beton Bornholm,120
478,VALGREN Michael,EF Education - EasyPost,119
479,TOUZÉ Damien,Cofidis,119
480,COLNAGHI Luca,Bardiani CSF 7 Saber,119
481,GUARDEÑO Jaume,Caja Rural - Seguros RGA,119
482,BERNARD Julien,Lidl - Trek,118
483,QUINTANA Nairo,Movistar Team,118
484,BATSAIKHAN Tegsh-Bayar,Roojai Insurance Winspace,118
485,TSVETKOV Nikita,Bardiani CSF 7 Saber,118
486,POLITT Nils,UAE Team Emirates - XRG,117
487,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,117
488,VARGAS Walter,Team Medellín - EPM,117
489,SWIFT Connor,INEOS Grenadiers,117
490,GERMANI Lorenzo,Groupama - FDJ United,117
491,TESSON Jason,TotalEnergies,116
492,HUBY Antoine,,116
493,ÁLVAREZ Héctor,Lidl - Trek Future Racing,116
494,WARBASSE Larry,Tudor Pro Cycling Team,115
495,HAIG Jack,INEOS Grenadiers,115
496,HEIDUK Kim,INEOS Grenadiers,115
497,WALLS Matthew,,114
498,GOVEKAR Matevž,Bahrain - Victorious,114
499,PRADES Benjamín,VC Fukuoka,113
500,STEINHAUSER Georg,EF Education - EasyPost,113
501,TURCONI Filippo,Bardiani CSF 7 Saber,113
502,HAGENES Per Strand,Team Visma | Lease a Bike,112
503,IZQUIERDO Clément,Cofidis,112
504,OLIVEIRA Rui,UAE Team Emirates - XRG,111
505,CEPEDA Jefferson Alexander,EF Education - EasyPost,111
506,CHRISTOPHERSEN Cedrik Bakke,Unibet Rose Rockets,111
507,BYSTRØM Sven Erik,Uno-X Mobility,110
508,PETER Jannis,Unibet Rose Rockets,110
509,VERRE Alessandro,MBH Bank CSB Telecom Fort,110
510,PEÑUELA Francisco Joel,Caja Rural - Seguros RGA,110
511,LE BERRE Mathis,TotalEnergies,110
512,HAMZA Yacine,,109
513,BURGAUDEAU Mathieu,TotalEnergies,109
514,ANDERSEN Mads,Swatt Club,109
515,SWEENY Harry,EF Education - EasyPost,108
516,VERGALLITO Luca,Alpecin-Premier Tech,108
517,DONALDSON Robert,Team Jayco AlUla,108
518,CURRIE Logan,,108
519,RUIZ Ibon,Equipo Kern Pharma,108
520,LIENHARD Fabian,Tudor Pro Cycling Team,107
521,DAUPHIN Florian,TotalEnergies,107
522,PICKERING Finlay,Team Jayco AlUla,107
523,GRANGER Ben,Solution Tech NIPPO Rali,106
524,KEPPLINGER Rainer,Bahrain - Victorious,106
525,BENNETT George,NSN Cycling Team,105
