Rank,Rider,Team,Points
2230,MICHELS Jente,Alpecin-Premier Tech Development Team,2
2231,RUVALCABA David,,2
2232,CODD Shawn,,2
2233,TOFTEMARK Lucas,AIRTOX - Carl Ras,2
2234,CHRISTENSEN Alfred,Team ColoQuick,2
2235,WĄSOWICZ Kajetan,Mostostal Puławy,2
2236,SCHRAG Daniel,MaxSolar - Raymon,2
2237,BALAJ Mateo,,2
2238,CHARLES Karega,,2
2239,BASARABA Mykhailo,UC Monaco,2
2240,GUNNARSSON Breki,,2
2241,BINAKAJ Valon,,2
2242,ILBOUDO Soumaila,,2
2243,BESSEGA Tommaso,Team Polti VisitMalta,2
2244,BADLIS Slimane,,2
2245,LIRA Juan Cristobal,,2
2246,HUITING Eskil,Sensa - Kanjers voor Kanjers,2
2247,PITA Sebastián Alexander,,2
2248,BOONSTRA Jelle,,2
2249,MORIN Yoan,Bourg-en-Bresse Ain Cyclisme,2
2250,ALTANGEREL Davaajargal,,2
2251,INJYENYER Bilguun,,2
2252,RODRIGUES SILVA Luan Carlos,,2
2253,DJIRE Daouda,,2
2254,GHAVAMI Ramyar,,2
2255,PAEZ Mauricio,,2
2256,VERGOUW Julian,Metec - SOLARWATT p/b Mantel,2
2257,VAN REES Christiaan,Development Team Picnic PostNL,2
2258,TESTSOV Yevhen,,2
2259,DENS Stan,,2
2260,KUMAR Manjeet,,2
2261,DARZI RAMANDI Mohammad,,2
2262,YOUSAF Yousaf,,2
2263,METAWEA Mahmoud,,2
2264,PRIVITERA Samuele,,2
2265,VUERINCKX Thomas,Urbano-Vulsteke-Bumaco Cycling Team,2
2266,BUSTOS Cristian Yesid,,2
2267,PEDERSEN Martin,Lidl - Trek Future Racing,2
2268,MALINEN Sampo,,2
2269,VESLUM Sebastian,Team Drali - Repsol,2
2270,WEMMERS Thijs,,2
2271,MONTI Alberto,ATT Investments,2
2272,BLAZEVIC Jonathan,Cyklotym Havířov - Tirana,2
2273,GEORGE Kirtson,,2
2274,BAILEY Barrington,,2
2275,FUENTES Jose,,2
2276,PANJOJ Adonias Nelson,,2
2277,COLE Owen,Team Winston Salem - Flow,2
2278,PAGARA Alexis,Victoria Sports Pro Cycling,2
2279,ALBANO Diego,,2
2280,CARTER John,,2
2281,JIANG Yipei,,2
2282,GUERINEL Manu,Guidon Chalettois,2
2283,BOUSSEMAERE Louic,Decathlon CMA CGM Development Team,2
2284,GUAY Mathis,,2
2285,GRIECO Lucas,,2
2286,LUO Pengpeng,,2
2287,GONZALEZ Anthuar Rachidd,,2
2288,MUSAMBA Elias,,2
2289,HOUETO Emile,,2
2290,ZAPATA Mauricio,Team Sistecredito,2
2291,RIAHI Anes,,2
2292,MUGALU Shafik,,2
2293,BITTMAN Adam,Kasper crypto4me,2
2294,GOSZCZURNY Patryk,Team Visma | Lease a Bike Development,2
2295,MARTINI Marco,Team Technipes #inEmiliaRomagna Caffè Borbone,2
2296,GLADEK Marcel,Factor Racing,2
2297,ZANUTTA David,XDS Astana Development Team,2
2298,BRITO Maicol,,2
2299,FERRARO Santiago,Bardiani CSF 7 Saber,2
2300,BERDEMPES Konstantinos,,2
2301,ASIF Asif,,2
2302,LEBO Joshua,Meridian Racing p/b de la Uz,2
2303,AFLAH Muhammad,ASC Monsters Indonesia,2
2304,SKRAPCIS Olivers Jēkabs,Energus Cycling Team,2
2305,TEPPO Petja,UN Cycling Team x Pyörävarikko,2
2306,FERNANDEZ Kendall,,2
2307,MACEDO Paulo Raphael Cliver,,2
2308,PITA Alejandro Bladimir,,2
2309,PIEDRA CUELLAR Joselin,,2
2310,MASEMOLA Rodney,Tshenolo Pro Cycling Team,2
2311,MAKRAI Bálint,MBH Bank CSB Telecom Fort,2
2312,KING Jason,,2
2313,HADŽIABLAHOVIĆ Hasan,,2
2314,VAREA José Daniel,,2
2315,DORCU Ovidiu-Gabriel,,2
2316,MENVILAY Sonsoulisack,,2
2317,TEIXEIRA Cristian,,2
2318,MOVLONBERDIYEV Mustafo,,2
2319,MONTEIRO DIAS Gilberto,,2
2320,NIYONSABA David,,2
2321,DÍAZ Miguel Angel,Canel's - Java,2
2322,MED YASSINE Chehaibi,,2
2323,VANDEKERCKHOVE Jules,,2
2324,DESAI Sachin,,2
2325,TLOUOE Thato,,2
2326,TYAPA Ongeziwe,Tshenolo Pro Cycling Team,2
2327,GUMEDE Siyanda Mthobeleni,Tshenolo Pro Cycling Team,2
2328,LEPKA Filip,Schwingshandl Intralogistics,2
2329,MOTSA Thabiso,,2
2330,VÁZQUEZ Óscar A.,,2
2331,KASULE Fred,,2
2332,AL REJJAL Mohammad,,2
2333,NORVIN Andrey,,2
2334,MORGAN Carl,,2
2335,FRASER Caelan,,2
2336,SAVIĆ Živko,,2
2337,ĆELIĆ Stanko,,2
2338,ZALTSMAN Tomer,,2
2339,VO Minh Gia Bao,,2
2340,HO Kai Fong,,1
2341,BAZZI Facundo Lionel,,1
2342,DANIEL Eliad,,1
2343,OWSIAN Łukasz,,1
2344,HUNG Kun Hung,,1
2345,SUMIYOSHI Kota,,1
2346,CASTILLO Ulises Alfredo,,1
2347,CARESMEL Alexis,VC Amateur Saint-Quentin,1
2348,SILVA Bruno,Tavfer-Ovos Matinados-Mortágua,1
2349,VAN KESSEL Corné,,1
2350,RUBIANO Miguel Angel,,1
2351,TUREK Daniel,Fany Gastro_Integray_L27,1
2352,ORANZA Ronald,,1
2353,AVANCINI Henrique da Silva,,1
2354,DE JESÚS Juan Carlos,,1
2355,STEWART Robert Liam,,1
2356,TANFIELD Harry,,1
2357,TAGLIANI Filippo,China Chermin Cycling Team,1
2358,SILVA Igor,,1
2359,CARMAN Ben,St George Continental Cycling Team,1
2360,DE VYLDER Lindsay,Alpecin-Premier Tech,1
2361,MARTÍNEZ Salvador,,1
2362,MORALES Esdras,,1
2363,KRISHNA Naykodi,,1
2364,LOMBARD Peter,EuroCyclingTrips - CCN,1
2365,PASQUIER Jean,,1
2366,KUSABA Keigo,Kinan Racing Team,1
2367,MAGOSAKI Daiki,Victoire Hiroshima,1
2368,BICKMORE Cade,,1
2369,NAVARRETE Maximiliano Ezequiel,,1
2370,HABERT Axel,,1
2371,ČERNE Gregor Matija,,1
2372,OKAMOTO Hayato,Aisan Racing Team,1
2373,STRAH Alex Antonio,,1
2374,COSTA Guy,,1
2375,ACOSTA Ruben Dario,,1
2376,CHRISTIE-JOHNSTON Alastair,CCACHE x BODYWRAP,1
2377,HOPPEZAK Vincent,Parkhotel Valkenburg,1
2378,ARNOPOL Richard,Project Echelon Racing,1
2379,TAKEYAMA Kosuke,Astemo Utsunomiya Blitzen,1
2380,JANUŠKEVIČIUS Mantas,,1
2381,KIRIAKIDIS Ioannis,,1
2382,YAOWARAT Ratchanon,Thailand Continental Cycling Team,1
2383,LUCCA Simone,Gragnano Sporting Club,1
2384,CLAVIER Kendric,,1
2385,GUÐGEIRSSON Eyjólfur,,1
2386,RICHARDS Kane,Roojai Insurance Winspace,1
2387,ZWANE Mduduzi,,1
2388,TRUEBA Sergio,Illes Balears Arabay,1
2389,GATHEMANN Albert,Benotti Berthold,1
2390,HAYTER Leo,Modern Adventure Pro Cycling,1
2391,REXHA Betim,,1
2392,FIGUEIREDO LEME Pedro,,1
2393,ROVDER Pavol,,1
2394,SSEMPIJJA Aziz,,1
2395,VILLASMIL Alexander,,1
2396,ŞAMPIYONBISIKLET Mehmet,Universe Cycling Team,1
2397,DE GRAEF Noah,,1
2398,SCHANDORFF IWERSEN Emil,BHS - PL Beton Bornholm,1
2399,NOOR ROSEIDI Ariff Danial,Malaysia Pro Cycling,1
2400,MAJEWSKI Kacper,Wibatech Lubelskie Perła Polski,1
2401,DECAR Jacob Thomas,,1
2402,NGUYỄN Văn Bình,,1
2403,BLUM Elia,Elite Fondations Cycling Team,1
2404,DISSEL Bram,BEAT Cycling Club,1
2405,NG Wing Chung,,1
2406,MIYAZAKI Taishi,Astemo Utsunomiya Blitzen,1
2407,ROSERO Nixon Efrain,,1
2408,DYANKOV Nikolay,,1
2409,BAK Simon,Team Give Steel,1
2410,DEN BRABER Simon,Volharding Cycling Team,1
2411,WOOD George,Mg.K Vis Costruzioni e Ambiente,1
2412,AKPINAR Ahmet,Konya Büyükşehir Belediye Spor,1
2413,BEAUNE Mavric,Veloce Club Rouen 76,1
2414,THÉOT Hugo,Guidon Chalettois,1
2415,FITZSIMONS Mitchel,St George Continental Cycling Team,1
2416,ESKEDAL Vetle Torin,Grupo Eulen-NUUK,1
2417,OIOLI Manuel,Swatt Club,1
2418,STIEGER Adrian,Schwingshandl Intralogistics,1
2419,VINDECS Agris,,1
2420,LANGE Wessel,Universe Cycling Team,1
2421,HASHIKAWA Jo,Kinan Racing Team,1
2422,PALMISTE Philgy Marc,,1
2423,TEESE Ronan,Giant Cycling Team,1
2424,PANSAARD Arttasorn,Roojai Insurance Winspace,1
2425,KNUDSEN Oliver,Swatt Club,1
2426,RAGILO Frank Aron,Lucky Sport Cycling Team,1
2427,ABT Cedric,,1
2428,NAKKEN Tobias Risan,Team Drali - Repsol,1
2429,MARTINSEN Toralf Rydningen,Team Drali - Repsol,1
2430,STORM Theodor,INEOS Grenadiers Racing Academy,1
2431,TROELSEN Tore,Team ColoQuick,1
2432,ALARCÓN Julian David,,1
2433,LEGOVIĆ Martin,,1
2434,MENDOZA David,,1
2435,KESSLER Cole,Modern Adventure Pro Cycling,1
2436,PODŽIĆ Mujo,,1
2437,BOZZOLA Mirko,S.C. Padovani Polo Cherry Bank,1
2438,BESSEGA Gabriele,Team Polti VisitMalta,1
2439,CADET Sonny,,1
2440,LAGRAVE Dorian,Vendée U Primeo Energie,1
2441,HUE Antoine,Veloce Club Rouen 76,1
2442,MÄRKL Max,,1
2443,KASAPIS Andreas,,1
2444,OBHOLZER Theodor,Anicolor / Campicarn,1
2445,MAULANA Astnan,Nusantara Cycling Team,1
2446,WARD Jack,Lidl - Trek Future Racing,1
2447,NIU Gaoshang,Bodywrap LTwoo Cycling Team,1
2448,KAITA Simon,,1
2449,WIGGINS Ben,Hagens Berman Jayco,1
2450,CHANDI Edwin,,1
2451,TARAKCI Mustafa,Konya Büyükşehir Belediye Spor,1
2452,DOCKX Gilles,,1
2453,SANCHEZ Clément,Vendée U Primeo Energie,1
2454,DIAMOUTENE Tiemoko,,1
2455,BONALDO Antonio,S.C. Padovani Polo Cherry Bank,1
2456,LEALI Stefano,Biesse - Carrera - Premac,1
2457,DREWES Albrecht,,1
2458,LENZIUS Martti,Quick Pro Team,1
2459,VIARDOT Matteo,Team Bricquebec Cotentin,1
2460,BENAREAU Victor,High Level-Gsport-Grupo Tormo,1
2461,SEKSE Jørgen,Team Drali - Repsol,1
2462,KJELDSAND Karl Emil,Team Drali - Repsol,1
2463,MALDONADO Carlos Mauri,,1
2464,VAN WEELE Jannes,Universe Cycling Team,1
2465,SCHWITZGEBEL Lauric Immanuel,Embrace The World,1
2466,CARSTENSEN Magnus,EF Education - Aevolo,1
2467,KUBROM Awet,,1
2468,TRAJKOSKI Petar,,1
2469,ARON Victor-Alexandru,,1
2470,STERNSDORFF Lennard,BIKE AID,1
2471,ROJAS Delton,,1
2472,SAHIRI Ali Zakaria,,1
2473,BIN MOHD AIRUDIN Muhammad Raihan,,1
2474,KIM Sunjae,,1
2475,REX Tim,Team Visma | Lease a Bike,1
2476,ACHIETKUEYINYI Aurélien,,1
2477,ANDE Kouadio Emmanuel Adebayor,,1
2478,CONNOLLY Kevin,,1
2479,LÓPEZ Ian,Modern Adventure Pro Cycling,1
2480,ALZAABI Ismael Humaid,,1
2481,CORREA Pablo Emanuel,,1
2482,CÁRDENAS Vicente,,1
2483,PERSSON Hugo,UN Cycling Team x Pyörävarikko,1
2484,BIONDANI Riccardo,Gragnano Sporting Club,1
2485,RAJOVIC Pavle,,1
2486,GABELLONI Matteo,Overall Cycling Team,1
2487,ULLAH Sadiq,,1
2488,BRINKMAN David,,1
2489,ADASZAK Ksawery,Mazowsze Serce Polski,1
2490,BICELLI Michele,Biesse - Carrera - Premac,1
2491,MOHAMMED Abdulwahhab,,1
2492,NEMATOV Abdurahmon,,1
2493,MAROT Jérémy,,1
2494,LOPEZ Bryant Rafael,,1
2495,PIDHAINYI Andrii,,1
2496,MELLBY Joel,Lucky Sport Cycling Team,1
2497,HIBBERT Issa,,1
2498,FOTSING Claude Harold,,1
2499,MORRIS Richard,,1
2500,CHARROIS Leo,Embrace The World,1
2501,PONTES Bairon,,1
2502,ZENG Yi Wei,,1
2503,VANGSØ NIELSEN Thor,AIRTOX - Carl Ras,1
2504,HANGA Petrus,,1
2505,GORDGE Kieran,Hagens Berman Jayco,1
2506,PORTELLI Matthew,,1
2507,JACOBS Mees,Wielerploeg Groot Amsterdam,1
2508,PUHAKKA Juuso,,1
2509,RINGER Daniel,,1
2510,PEREIRA Adérito,,1
2511,GIDEY Hailemichael Amanuel,,1
2512,URBINA Alexander,,1
2513,OZUNA Marcos,,1
2514,OSIPOV Daniil,,1
2515,MALTSEV Daniil,,1
2516,FAQEER Bilal,,1
2517,OMRAN Abdelrahman,,1
2518,BAEZA Cristobal,,1
2519,ORTIZ Orlando,,1
2520,LUKOVIĆ Danilo,,1
2521,LESWI Mohammad,,1
2522,DONOVAN Shane,,1
2523,ZHANG Zhengwang,,1
